brand,model,year,price,fuel,transmission,image_url,badge
Toyota,Corolla,2022,18500,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/2/2f/2022_Toyota_Corolla_L_in_Classic_Silver_Metallic%2C_Front_Right%2C_03-20-2022.jpg,1
Toyota,Hilux,2023,32000,Diesel,Manual,https://upload.wikimedia.org/wikipedia/commons/8/81/Toyota_HiLux_GR_Sport_1X7A7281.jpg,2
Toyota,RAV4,2022,27500,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/a/ad/2022_Toyota_RAV4_Prime_SE_in_Ice_Cap%2C_front_left.jpg,1
Toyota,Land Cruiser,2021,31000,Diesel,Automatico,https://upload.wikimedia.org/wikipedia/commons/1/11/2018_Toyota_Land_Cruiser_200_Executive_Lounge_white_front.jpg,3
Toyota,Yaris,2023,14000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/7/73/2023_Toyota_Yaris_Cross_1.5_HEV_S_GR_Parts_%28AC200%29_%28Front%29.jpg,1
Honda,Civic,2022,20000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/2/23/2022_Honda_Civic_LX_Sedan%2C_front_right%2C_11-02-2022.jpg,1
Honda,CR-V,2023,28000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/1/1e/2023_Honda_CR-V_EX-L_AWD%2C_front_right%2C_11-13-2022.jpg,2
Honda,HR-V,2022,22500,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/5/5a/2023_Honda_HR-V_LX_AWD%2C_front_right%2C_11-13-2022.jpg,1
Hyundai,Tucson,2023,25000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/5/58/2023_Hyundai_Tucson_Urban_in_Ash_Black%2C_Front_Left%2C_01-16-2023.jpg,2
Hyundai,Santa Fe,2022,30000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/e/ec/2022_Hyundai_Santa_Fe_SEL_AWD%2C_front_left%2C_03-24-2023.jpg,2
Hyundai,Accent,2023,15000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/0/0a/2019_Hyundai_Accent_Preferred_sedan_in_Aurora_Black%2C_Front_Left%2C_10-05-2022.jpg,1
Kia,Sportage,2023,26000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/9/97/2023_Kia_Sportage_%28NQ5%29_in_White%2C_front_left.jpg,2
Kia,Seltos,2022,22000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/a/a0/2022_Kia_Seltos_EX_in_Snow_White_Pearl%2C_front_right.jpg,1
Kia,Sorento,2023,31500,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/a/a2/2023_Kia_Sorento_au_SIAM_2023.JPG,2
Nissan,Frontier,2022,29000,Diesel,Manual,https://upload.wikimedia.org/wikipedia/commons/d/d7/2022_Nissan_Frontier%2C_front_3.20.23.jpg,2
Nissan,X-Trail,2023,27000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/3/39/2023_Nissan_X-Trail_Ti_front.jpg,2
Nissan,Sentra,2022,19000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/2/23/2021_Nissan_Sentra_S%2C_front_5.20.22.jpg,1
Chevrolet,Tracker,2023,21000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/6/66/2022_Chevrolet_Tracker_1.2_Turbo_LTZ%2C_front_%28Argentina%29.jpg,1
Chevrolet,S10,2022,28500,Diesel,Manual,https://upload.wikimedia.org/wikipedia/commons/d/d6/2022_Chevrolet_S10_Max_Regular_Cabin_2.4_4x2_%28Mexico%29_front_view.png,2
Chevrolet,Captiva,2023,26500,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/e/e2/2013_Chevrolet_Captiva_Sport_LT_in_Silver_Ice_Metallic%2C_Front_Left%2C_05-06-2023.jpg,2
Ford,Ranger,2023,30000,Diesel,Manual,https://upload.wikimedia.org/wikipedia/commons/2/28/Ford_Ranger_%28T6%2C_P703%29_Wildtrak_IMG_7320.jpg,2
Ford,Escape,2022,25500,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/8/86/Ford_Escape_%28fourth_generation%29_1X7A6227.jpg,1
Ford,Explorer,2023,32000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/6/62/2023_Ford_Explorer_Limited_in_Star_White_Metallic_Tri-Coat%2C_front_left%2C_2024-06-04.jpg,3
Mitsubishi,Outlander,2022,27000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/4/40/2022_Mitsubishi_Outlander_ES_2WD_7seater_front.jpg,2
Mitsubishi,L200,2023,29500,Diesel,Manual,https://upload.wikimedia.org/wikipedia/commons/0/06/DSC05661_Mitsubishi_L200%2C_Bundesheer%2C_Front_Right%2C_2023-10.jpg,2
Suzuki,Vitara,2022,20500,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/a/ad/2022_Maruti_Suzuki_Vitara_Brezza_1.5_ZXi%2B_%28India%29_front_view.png,1
Suzuki,Jimny,2023,19000,Gasolina,Manual,https://upload.wikimedia.org/wikipedia/commons/e/e0/2023_Suzuki_Jimny_1.5_GL_All-Grip_in_Silky_Silver_Metallic%2C_front_left.jpg,1
Mazda,CX-5,2023,28000,Gasolina,Automatico,https://upload.wikimedia.org/wikipedia/commons/9/90/Mazda_CX-5_XD_Retro_Sports_Edition_2WD_%283DA-KF2P%29_front.jpg,2
